satisfaction_level,last_evaluation,average_montly_hours,time_spend_company,Work_accident,left,salary
-1,0.86,0,24,0,1,0
-1,0.86,2,24,0,1,1
-1,0.47,2,24,0,1,1
0,0.9,0,24,0,1,1
-1,0.47,0,24,0,1,1
0,0.97,1,24,0,1,0
-1,0.6,1,24,0,0,0
-1,0.37,0,24,0,0,0
0,0.57,2,24,0,0,1
0,0.97,3,24,0,0,1
0,0.79,2,24,0,0,0
0,0.6,0,24,0,0,0
-1,0.8,1,24,1,0,0
-1,0.88,0,24,1,0,0
0,0.5,2,24,0,0,0
0,0.61,2,24,0,0,1
-1,0.66,2,24,1,0,1
-1,0.54,2,24,0,0,1
-1,0.53,0,24,0,0,1
1,0.98,2,24,0,0,0
0,0.99,0,24,1,0,0
1,0.65,2,24,0,0,0
-1,0.57,2,24,1,0,0
-1,0.51,0,24,0,0,1
-1,0.94,1,24,0,0,1
-1,0.58,1,24,0,0,1
-1,0.57,1,24,0,0,1
0,0.79,2,24,0,0,0
-1,0.81,1,24,0,0,0
1,0.55,3,24,0,0,0
-1,0.5,2,24,0,0,0
0,0.51,2,24,0,0,0
0,0.89,1,24,1,0,0
-1,0.48,1,24,0,0,0
0,0.58,-1,24,0,0,1
-1,0.83,1,24,0,0,1
-1,0.76,1,24,1,0,1
0,0.68,1,24,1,0,1
0,0.93,1,24,0,0,1
0,0.83,1,24,1,0,1
0,0.82,-1,24,0,0,1
-1,0.43,1,24,0,0,1
-1,0.5,0,24,0,0,1
-1,0.76,0,24,1,0,1
-1,0.58,1,24,0,0,1
1,0.56,3,24,0,0,1
-1,0.74,1,24,0,0,0
-1,0.54,-1,24,0,0,0
-1,0.81,3,24,0,0,0
0,0.71,-1,24,0,0,0
-1,0.69,0,24,0,0,0
1,0.49,1,24,0,0,0
1,0.66,-1,24,0,0,0
1,0.84,1,24,0,0,1
0,0.94,-1,24,0,0,1
-1,0.81,-1,24,0,0,1
-1,0.92,1,24,0,0,1
-1,0.53,2,24,0,0,1
0,0.79,-1,24,1,0,0
1,0.91,2,24,0,0,0
-1,0.87,3,24,0,0,0
1,0.79,-1,24,0,0,0
0,0.57,1,24,0,0,0
-1,0.69,-1,24,1,0,1
-1,0.63,0,24,0,0,1
-1,0.93,3,24,0,0,1
-1,0.97,0,24,0,0,1
1,0.68,0,24,0,0,0
-1,0.62,0,24,0,0,0
-1,0.89,1,24,0,0,0
-1,0.74,1,24,0,0,0
-1,0.93,-1,24,0,0,0
1,0.49,2,24,0,0,0
-1,0.56,0,24,0,0,1
0,0.8,1,24,1,0,1
-1,0.75,2,24,1,0,1
1,0.69,2,24,0,0,1
0,0.68,-1,24,1,0,1
-1,0.39,-1,24,0,0,0
1,0.97,0,24,0,0,0
-1,0.79,3,24,0,0,0
1,0.88,1,24,0,0,0
1,0.45,2,24,1,0,0
1,0.51,0,24,0,0,0
-1,0.54,-1,24,0,0,1
-1,0.9,-1,24,1,0,1
0,0.82,0,24,0,0,1
0,0.74,0,24,0,0,1
1,0.86,0,24,0,0,1
-1,0.53,0,24,0,0,0
1,0.61,3,24,0,0,0
-1,0.53,1,24,0,0,0
-1,0.6,0,24,0,0,0
-1,0.5,3,24,0,0,0
-1,0.64,3,24,0,0,0
1,0.77,-1,24,1,0,0
-1,0.98,3,24,0,0,0
-1,0.69,1,24,0,0,0
1,0.68,2,24,0,0,0
0,0.93,0,24,0,0,1
-1,0.66,1,24,0,0,1
-1,0.64,2,24,0,0,1
-1,0.77,0,24,0,0,1
-1,0.44,-1,24,0,0,1
0,0.83,3,24,0,0,1
1,0.68,0,24,0,0,1
1,0.77,1,24,1,0,0
-1,0.55,2,24,0,0,0
0,0.97,-1,24,1,0,0
-1,0.89,0,24,0,0,0
0,0.52,0,24,1,0,0
0,0.74,0,24,0,0,0
-1,0.61,-1,24,0,0,1
-1,0.54,0,24,0,0,1
0,0.98,0,24,0,0,1
-1,0.55,3,24,0,0,1
-1,0.64,1,24,0,0,1
1,0.97,1,24,0,0,0
-1,0.8,0,24,1,0,0
-1,0.81,-1,24,0,0,0
1,0.67,0,24,0,0,0
0,0.51,-1,24,1,0,0
0,0.78,1,24,0,0,0
-1,0.51,2,24,0,0,0
0,0.65,2,24,1,0,0
-1,0.4,1,24,1,0,0
0,0.49,3,24,0,0,0
-1,0.82,1,24,0,0,0
-1,0.98,1,24,0,0,0
-1,0.85,1,24,1,0,1
-1,0.69,2,24,0,0,1
-1,0.5,0,24,1,0,1
-1,0.76,1,24,0,0,0
0,0.68,2,24,0,0,1
-1,0.49,2,24,1,0,1
0,0.58,0,24,0,0,0
-1,0.4,-1,24,0,0,0
0,0.84,-1,24,0,0,0
0,0.59,1,24,0,0,0
-1,0.86,1,24,0,0,0
0,0.83,2,24,0,0,1
-1,0.4,1,24,0,0,0
-1,0.49,2,24,0,0,1
-1,0.67,2,24,0,0,1
-1,0.48,2,24,0,0,0
0,0.72,0,24,0,0,0
-1,0.8,1,24,0,0,0
0,0.74,2,24,0,0,0
-1,0.69,1,24,0,0,0
-1,0.77,1,24,1,0,0
0,0.83,1,24,0,0,0
1,0.88,0,24,0,0,1
-1,0.9,2,24,0,0,1
-1,0.96,0,24,0,0,1
1,0.54,0,24,0,0,1
0,0.68,3,24,0,0,1
-1,0.64,3,24,1,0,1
0,0.78,-1,24,0,0,0
-1,0.69,1,24,1,0,0
-1,0.61,-1,24,0,0,0
-1,0.99,2,24,0,0,0
1,0.97,3,24,1,0,0
-1,0.75,1,24,0,0,0
-1,0.78,2,24,0,0,0
-1,0.98,0,24,0,0,1
1,0.87,1,24,0,0,1
-1,0.8,3,24,0,0,0
-1,0.66,0,24,0,0,1
-1,0.59,3,24,0,0,0
-1,0.87,3,24,0,0,0
-1,0.51,1,24,0,0,0
-1,0.75,-1,24,0,0,0
-1,0.94,2,24,0,0,0
-1,0.73,2,24,0,0,1
0,0.84,3,24,0,0,1
-1,0.95,0,24,0,0,1
0,0.74,2,24,0,0,1
-1,0.65,0,24,0,0,1
0,0.93,1,24,0,0,0
0,0.57,2,24,0,0,0
-1,0.65,1,24,1,0,0
-1,0.61,0,24,0,0,0
1,0.72,-1,24,1,0,0
-1,0.92,0,24,0,0,1
1,0.97,3,24,0,0,1
0,0.8,2,24,0,0,1
0,0.5,1,24,0,0,1
-1,0.9,2,24,0,0,0
0,0.6,2,24,0,0,0
-1,0.85,0,24,0,0,0
0,0.55,3,24,1,0,0
1,0.61,2,24,1,0,0
0,0.62,1,24,0,0,0
0,0.99,2,24,1,0,0
-1,0.69,2,24,0,0,0
0,0.59,1,24,0,0,0
-1,0.93,2,24,1,0,1
0,0.68,2,24,0,0,1
0,0.65,1,24,0,0,1
1,0.68,1,24,1,0,0
-1,0.72,-1,24,0,0,1
0,0.81,0,24,0,0,1
-1,0.97,1,24,0,0,0
0,0.98,-1,24,0,0,0
-1,0.87,0,24,0,0,0
0,0.73,3,24,0,0,0
-1,0.7,0,24,0,0,1
-1,0.87,0,24,0,0,1
-1,0.91,2,24,1,0,1
-1,0.62,-1,24,1,0,1
-1,0.87,1,24,0,0,1
-1,0.5,-1,24,0,0,1
-1,0.71,0,24,1,0,1
1,0.53,1,24,1,0,0
-1,0.47,0,24,0,0,0
-1,0.75,-1,24,0,0,0
-1,0.5,2,24,0,0,0
-1,0.86,3,24,1,0,0
-1,0.68,1,24,0,0,0
0,0.56,0,24,0,0,0
-1,0.77,1,24,0,0,0
-1,0.73,1,24,0,0,0
0,0.96,0,24,0,0,0
0,0.69,2,24,0,0,1
-1,0.49,0,24,0,0,1
-1,0.68,1,24,0,0,0
-1,0.42,1,24,0,0,0
-1,0.81,-1,24,0,0,0
0,0.9,2,24,0,0,0
-1,0.71,-1,24,0,0,0
-1,0.86,2,24,0,0,0
1,0.59,0,24,0,0,0
-1,0.83,0,24,0,0,1
0,0.99,1,24,0,0,1
-1,0.65,2,24,1,0,0
0,0.63,0,24,0,0,1
-1,0.9,3,24,1,0,0
-1,0.56,2,24,1,0,0
-1,0.81,-1,24,0,0,0
-1,0.71,0,24,0,0,0
-1,0.88,-1,24,0,0,0
0,0.52,0,24,0,0,0
-1,1.0,1,24,0,0,0
-1,0.47,-1,24,0,0,1
-1,0.67,1,24,1,0,1
1,0.79,-1,24,0,0,1
1,0.75,2,24,0,0,1
0,0.51,1,24,1,0,0
-1,0.91,1,24,0,0,0
-1,0.43,0,24,0,0,0
1,0.45,2,24,0,0,0
1,1.0,2,24,1,0,0
1,0.54,-1,24,0,0,0
0,0.59,1,24,0,0,0
-1,0.78,0,24,0,0,1
-1,0.78,1,24,0,0,1
0,0.57,1,24,0,0,1
0,0.66,-1,24,0,0,1
0,0.78,1,24,0,0,0
1,0.85,1,24,0,0,0
-1,0.66,2,24,0,0,0
-1,0.77,2,24,0,0,0
0,0.67,1,24,0,0,0
-1,0.76,3,24,1,0,0
0,0.49,1,24,0,0,1
-1,0.82,1,24,0,0,1
-1,0.84,2,24,0,0,1
1,0.69,1,24,1,0,0
-1,0.58,2,24,0,0,0
-1,0.56,0,24,0,0,0
-1,0.56,-1,24,0,0,0
-1,0.99,1,24,0,0,0
1,0.58,0,24,1,0,0
1,0.61,0,24,0,0,0
-1,0.9,0,24,0,0,0
-1,0.67,0,24,0,0,0
0,0.95,3,24,0,0,1
-1,0.77,2,24,0,0,1
-1,0.82,0,24,0,0,1
-1,0.55,2,24,0,0,1
0,0.84,-1,24,1,0,0
0,0.69,3,24,0,0,0
1,0.65,1,24,0,0,0
1,0.7,1,24,0,0,0
-1,0.51,2,24,0,0,0
-1,0.98,3,24,1,0,0
0,0.93,3,24,0,0,1
-1,0.73,2,24,0,0,1
1,0.62,1,24,0,0,1
1,0.84,-1,24,0,0,1
0,0.63,2,24,0,0,0
-1,0.76,2,24,0,0,0
1,0.61,3,24,0,0,0
-1,0.61,-1,24,0,0,0
-1,0.71,0,24,0,0,0
1,0.76,1,24,0,0,1
-1,0.59,1,24,0,0,1
0,0.66,0,24,0,0,0
1,0.71,2,24,1,0,0
1,0.73,1,24,0,0,0
0,0.94,0,24,0,0,0
0,0.73,0,24,0,0,0
1,0.81,0,24,0,0,0
-1,0.89,0,24,0,0,0
-1,0.79,1,24,1,0,0
-1,0.64,3,24,0,0,1
0,0.86,2,24,0,0,1
-1,0.65,0,24,0,0,1
1,0.8,-1,24,1,0,1
-1,0.94,0,24,0,0,1
-1,0.64,2,24,0,0,0
-1,0.9,3,24,1,0,0
1,0.69,0,24,0,0,0
0,0.82,3,24,1,0,0
-1,0.72,0,24,0,0,0
-1,0.53,2,24,0,0,1
1,0.66,0,24,0,0,1
1,0.7,0,24,0,0,1
-1,0.85,1,24,0,0,1
0,0.66,0,24,1,0,1
1,0.81,2,24,0,0,0
-1,0.66,2,24,0,0,0
0,0.88,-1,24,0,0,0
1,0.5,2,24,0,0,1
1,0.75,1,24,0,0,1
-1,0.99,2,24,0,0,1
-1,0.52,-1,24,0,0,0
-1,0.7,1,24,0,0,1
0,0.96,-1,24,0,0,1
-1,0.37,0,24,0,0,0
1,0.67,0,24,0,0,0
-1,0.69,-1,24,1,0,0
1,0.54,1,24,0,0,0
-1,0.66,0,24,0,0,0
0,0.8,2,24,0,0,1
0,0.69,-1,24,0,0,1
-1,0.71,0,24,0,0,1
0,0.74,2,24,0,0,1
0,0.98,0,24,0,0,1
0,0.52,0,24,1,0,0
-1,0.63,1,24,0,0,1
-1,0.64,0,24,0,0,1
-1,0.96,0,24,0,0,0
0,0.55,1,24,0,0,1
-1,0.62,3,24,0,0,1
0,0.37,1,24,0,0,1
-1,0.68,1,24,0,0,1
0,0.62,1,24,0,0,1
1,0.7,-1,24,0,0,1
-1,0.63,1,24,0,0,1
0,0.6,2,24,0,0,1
-1,0.58,1,24,0,0,1
-1,0.65,0,24,0,0,1
1,0.95,2,24,1,0,1
-1,0.55,1,24,0,0,1
-1,0.95,1,24,0,0,1
-1,0.38,3,24,0,0,0
0,0.75,1,24,0,0,0
-1,0.96,2,24,1,0,0
0,0.74,2,24,0,0,1
-1,0.62,-1,24,0,0,1
-1,0.57,-1,24,0,0,1
1,0.97,0,24,0,0,1
0,0.79,-1,24,0,0,1
0,0.74,2,24,0,0,1
1,0.66,2,24,0,0,1
0,0.61,3,24,0,0,0
1,0.86,1,24,0,0,0
-1,0.98,3,24,0,0,0
-1,0.37,2,24,0,0,0
-1,0.9,2,24,0,0,0
-1,0.61,1,24,0,0,1
0,0.62,-1,24,1,0,1
-1,0.59,3,24,0,0,1
1,0.78,2,24,0,0,1
1,0.5,2,24,0,0,1
-1,0.58,1,24,0,0,1
-1,0.73,0,24,0,0,1
-1,0.79,1,24,0,0,1
-1,0.8,1,24,1,0,1
0,0.63,0,24,0,0,1
1,0.53,2,24,0,0,1
-1,0.8,-1,24,0,0,1
-1,0.86,2,24,0,0,0
-1,0.61,1,24,0,0,0
0,0.53,0,24,0,0,0
-1,0.75,2,24,0,0,0
-1,0.56,1,24,0,0,1
-1,0.7,1,24,0,0,0
0,0.53,1,24,0,0,1
0,0.68,1,24,0,0,1
-1,0.69,-1,24,0,0,1
0,0.54,3,24,0,0,1
0,0.65,1,24,0,0,1
-1,0.77,-1,24,0,0,1
-1,0.9,0,24,0,0,0
-1,0.99,2,24,1,0,0
-1,0.7,-1,24,0,0,0
0,0.51,0,24,0,0,0
-1,0.81,2,24,0,0,0
0,0.59,-1,24,0,0,0
0,0.99,1,24,0,0,1
-1,0.85,0,24,0,0,0
0,0.85,-1,24,0,0,0
0,0.49,2,24,0,0,1
-1,0.95,1,24,0,0,1
0,0.68,1,24,0,0,1
-1,0.92,1,24,0,0,1
1,0.89,1,24,0,0,1
-1,0.6,2,24,0,0,1
0,0.96,-1,24,0,0,1
0,0.51,1,24,1,0,0
0,0.68,1,24,0,0,1
-1,0.53,-1,24,0,0,0
1,0.52,2,24,0,0,0
0,0.86,3,24,0,0,0
-1,0.51,3,24,0,0,0
-1,0.69,2,24,0,0,1
0,0.95,1,24,0,0,1
1,0.7,2,24,1,0,1
1,0.59,-1,24,0,0,1
0,0.7,1,24,1,0,1
-1,0.53,1,24,0,0,0
-1,0.62,-1,24,0,0,0
-1,0.91,2,24,0,0,0
-1,0.84,1,24,0,0,0
-1,0.79,0,24,0,0,0
-1,0.43,1,24,0,0,0
1,0.7,2,24,0,0,0
0,0.97,2,24,0,0,1
-1,0.55,2,24,0,0,1
1,0.54,1,24,0,0,1
0,0.53,1,24,0,0,0
-1,0.66,-1,24,0,0,1
-1,0.52,1,24,1,0,1
0,0.88,1,24,1,0,0
-1,0.36,0,24,0,0,0
1,0.87,1,24,0,0,0
-1,0.73,-1,24,0,0,0
0,0.73,1,24,0,0,0
1,0.99,1,24,0,0,0
1,0.58,2,24,0,0,0
-1,0.81,0,24,0,0,1
1,0.59,1,24,0,0,1
0,0.65,0,24,0,0,1
1,0.93,1,24,0,0,0
0,0.48,0,24,0,0,0
-1,0.54,-1,24,1,0,0
0,0.76,-1,24,0,0,0
-1,0.76,1,24,0,0,0
0,0.92,-1,24,0,0,0
-1,0.7,1,24,0,0,0
-1,0.75,1,24,0,0,0
0,0.62,3,24,0,0,0
0,0.93,3,24,0,0,0
0,0.99,2,24,0,0,0
1,0.93,2,24,0,0,1
-1,0.87,1,24,0,0,1
-1,0.55,0,24,0,0,1
-1,0.56,3,24,0,0,0
0,0.67,3,24,0,0,1
-1,0.57,0,24,1,0,1
0,0.85,3,24,0,0,0
-1,0.86,3,24,1,0,0
-1,0.44,-1,24,0,0,0
0,0.89,0,24,0,0,0
0,0.84,1,24,0,0,0
-1,0.84,2,24,0,0,0
-1,0.96,0,24,0,0,0
-1,0.74,0,24,1,0,1
1,0.74,1,24,1,0,1
1,0.5,2,24,1,0,1
0,0.91,2,24,0,0,0
-1,0.85,0,24,0,0,0
0,0.78,3,24,1,0,0
-1,0.64,1,24,1,0,0
0,0.66,1,24,0,0,0
0,0.67,1,24,0,0,0
0,0.89,2,24,0,0,0
-1,0.85,0,24,0,0,1
-1,0.82,3,24,0,0,1
-1,0.9,3,24,0,0,1
-1,0.56,0,24,1,0,1
0,0.85,2,24,0,0,0
-1,0.71,1,24,0,0,0
0,0.59,1,24,0,0,0
-1,0.97,3,24,0,0,0
-1,0.42,-1,24,0,0,0
0,0.91,1,24,0,0,0
-1,0.57,0,24,0,0,0
-1,0.64,0,24,0,0,0
0,0.81,2,24,0,0,0
-1,0.62,0,24,0,0,1
1,0.66,2,24,0,0,1
1,0.71,3,24,1,0,1
0,0.9,3,24,0,0,1
0,0.83,3,24,0,0,1
1,0.49,3,24,0,0,0
-1,0.92,-1,24,1,0,1
-1,0.8,1,24,1,0,0
-1,0.48,1,24,0,0,0
-1,0.66,-1,24,0,0,1
-1,0.78,2,24,0,0,1
-1,0.82,2,24,0,0,1
1,0.73,1,24,0,0,1
0,0.83,2,24,0,0,1
-1,0.7,1,24,0,0,1
0,0.91,2,24,0,0,1
-1,0.82,2,24,0,0,1
-1,0.71,0,24,0,0,0
1,0.96,0,24,1,0,0
0,0.56,1,24,1,0,1
0,0.89,2,24,0,0,1
-1,0.63,-1,24,0,0,1
1,0.5,0,24,0,0,1
-1,0.61,-1,24,1,0,1
0,0.54,0,24,0,0,1
-1,0.59,2,24,0,0,1
-1,0.97,0,24,0,0,1
-1,0.91,0,24,1,0,0
-1,0.55,2,24,0,0,0
-1,0.59,0,24,0,0,0
-1,0.78,3,24,1,0,0
-1,0.46,0,24,1,0,0
1,0.77,2,24,1,0,1
0,0.7,3,24,0,0,1
0,0.95,0,24,0,0,1
-1,0.45,1,24,0,0,1
1,0.93,1,24,0,0,1
1,0.65,0,24,0,0,1
-1,0.91,2,24,0,0,1
0,0.78,-1,24,1,0,1
-1,0.64,1,24,0,0,0
-1,0.86,1,24,0,0,1
-1,0.63,2,24,0,0,1
-1,0.84,2,24,0,0,1
-1,0.56,2,24,0,0,1
1,0.63,2,24,0,0,0
-1,0.48,0,24,0,0,0
-1,0.76,2,24,0,0,0
-1,0.99,0,24,0,0,1
1,0.71,2,24,0,0,0
-1,0.89,1,24,0,0,1
0,0.8,2,24,1,0,0
0,0.72,2,24,0,0,1
1,0.57,2,24,1,0,1
-1,0.74,2,24,0,0,1
1,0.85,0,24,0,0,1
-1,0.8,2,24,0,0,1
-1,0.56,1,24,0,0,1
0,0.55,2,24,1,0,0
1,0.62,-1,24,1,0,0
-1,0.63,1,24,1,0,1
-1,1.0,1,24,0,0,0
-1,0.9,2,24,1,0,0
-1,0.65,1,24,0,0,0
-1,0.49,2,24,0,0,0
0,0.6,2,24,0,0,0
1,0.87,1,24,0,0,1
-1,0.78,3,24,0,0,0
-1,0.87,0,24,0,0,1
-1,0.63,2,24,0,0,1
1,0.51,1,24,0,0,0
-1,0.77,2,24,0,0,0
-1,0.79,3,24,0,0,1
1,0.71,0,24,1,0,0
0,0.81,1,24,0,0,0
0,0.61,-1,24,0,0,1
-1,0.81,2,24,0,0,1
1,0.61,3,24,0,0,1
-1,1.0,2,24,0,0,1
-1,0.65,1,24,0,0,0
-1,0.89,1,24,0,0,0
-1,0.96,3,24,0,0,0
-1,0.76,-1,24,1,0,0
0,0.7,3,24,0,0,0
-1,0.5,2,24,0,0,0
-1,0.64,1,24,0,0,0
0,0.67,-1,24,0,0,1
1,0.85,0,24,0,0,1
-1,0.68,-1,24,0,0,1
0,0.79,1,24,0,0,0
-1,0.72,0,24,0,0,0
-1,0.57,1,24,1,0,0
0,0.83,2,24,0,0,0
-1,1.0,0,24,0,0,0
-1,0.5,1,24,1,0,1
-1,0.67,0,24,0,0,1
1,0.66,0,24,0,0,1
0,0.83,1,24,1,0,1
-1,0.97,2,24,0,0,1
0,0.73,3,24,0,0,1
-1,0.51,-1,24,0,0,1
-1,0.57,3,24,0,0,1
0,0.6,0,24,0,0,0
-1,0.54,2,24,0,0,0
-1,0.94,-1,24,1,0,0
-1,0.92,-1,24,1,0,0
1,0.86,1,24,0,0,0
-1,0.81,1,24,0,0,0
0,0.6,-1,24,0,0,0
-1,0.55,1,24,0,0,1
0,0.58,1,24,0,0,1
-1,0.56,2,24,0,0,1
-1,0.67,1,24,0,0,0
-1,0.57,3,24,0,0,0
-1,0.75,0,24,1,0,0
-1,0.51,-1,24,1,0,0
-1,0.75,1,24,0,0,0
-1,0.98,0,24,0,0,1
-1,0.4,0,24,1,0,1
0,0.71,-1,24,0,0,1
-1,0.99,1,24,0,0,1
-1,0.67,0,24,0,0,1
-1,0.92,2,24,0,0,0
1,0.85,2,24,0,0,0
-1,0.99,3,24,0,0,0
0,0.69,0,24,0,0,0
-1,0.97,-1,24,0,0,0
-1,0.41,0,24,0,0,0
-1,0.58,2,24,0,0,0
-1,0.51,1,24,0,0,0
-1,0.76,1,24,1,0,1
1,0.6,1,24,1,0,1
1,0.58,2,24,0,0,1
-1,0.72,-1,24,0,0,0
-1,0.54,2,24,1,0,0
-1,0.51,-1,24,0,0,0
-1,0.54,0,24,0,0,0
-1,0.85,0,24,0,0,0
1,0.51,2,24,0,0,0
0,0.69,2,24,0,0,0
-1,0.81,3,24,0,0,1
1,0.85,1,24,0,0,1
-1,0.99,2,24,1,0,1
-1,0.75,-1,24,1,0,1
-1,0.76,1,24,0,0,0
-1,0.82,1,24,0,0,0
-1,0.74,3,24,1,0,0
-1,0.69,0,24,0,0,0
-1,0.96,-1,24,0,0,1
-1,0.85,3,24,0,0,1
-1,0.69,-1,24,0,0,1
-1,0.8,3,24,0,0,1
0,0.48,3,24,0,0,1
0,0.98,0,24,0,0,1
-1,0.55,2,24,0,0,1
-1,0.62,2,24,0,0,1
1,0.8,1,24,0,0,1
-1,0.53,-1,24,0,0,0
0,0.88,-1,24,0,0,0
1,0.96,3,24,0,0,0
-1,0.62,-1,24,0,0,1
-1,0.86,0,24,0,0,1
-1,0.93,1,24,0,0,1
-1,0.81,-1,24,0,0,0
1,0.84,1,24,0,0,0
0,0.76,1,24,1,0,0
-1,0.85,1,24,0,0,1
-1,0.69,0,24,0,0,1
1,0.7,1,24,1,0,1
-1,0.64,2,24,0,0,1
-1,0.58,0,24,0,0,1
-1,0.71,3,24,1,0,0
-1,0.94,2,24,0,0,1
1,0.69,1,24,0,0,1
0,0.77,0,24,0,0,1
1,0.5,0,24,1,0,1
1,0.68,3,24,1,0,0
0,0.78,0,24,0,0,0
1,0.87,0,24,0,0,1
0,0.68,3,24,0,0,0
-1,0.77,2,24,0,0,1
0,0.65,2,24,0,0,1
1,0.5,-1,24,0,0,1
1,0.87,0,24,0,0,1
-1,0.96,1,24,0,0,1
0,0.49,-1,24,1,0,1
0,0.91,2,24,0,0,1
-1,0.48,1,24,0,0,1
1,0.81,3,24,0,0,0
-1,0.56,1,24,0,0,0
-1,0.6,1,24,0,0,0
0,0.66,1,24,0,0,0
-1,0.61,3,24,0,0,1
1,0.68,1,24,0,0,0
0,0.56,0,24,0,0,0
1,0.56,1,24,1,0,1
1,0.58,1,24,0,0,1
0,0.88,1,24,1,0,1
-1,0.61,1,24,1,0,1
0,0.77,2,24,1,0,1
0,0.72,1,24,1,0,1
-1,0.66,0,24,0,0,1
1,0.88,1,24,0,0,0
-1,0.71,0,24,0,0,0
0,0.93,3,24,0,0,0
-1,1.0,-1,24,0,0,0
-1,0.5,1,24,0,0,1
1,0.71,1,24,1,0,1
-1,0.9,1,24,1,0,1
0,0.9,2,24,0,0,0
-1,0.87,2,24,0,0,0
-1,0.84,0,24,0,0,0
-1,0.49,2,24,0,0,0
1,0.56,3,24,0,0,0
-1,0.5,0,24,0,0,0
-1,0.86,-1,24,0,0,0
1,0.68,0,24,0,0,1
-1,0.68,-1,24,0,0,1
-1,0.74,1,24,0,0,1
0,0.99,0,24,0,0,1
1,0.94,2,24,0,0,1
-1,0.93,2,24,0,0,0
0,0.87,3,24,0,0,1
-1,0.64,0,24,0,0,0
0,0.97,2,24,1,0,0
-1,0.71,2,24,0,0,0
-1,0.79,1,24,0,0,0
-1,0.93,0,24,0,0,0
0,0.53,2,24,0,0,0
-1,0.68,3,24,0,0,0
1,0.76,1,24,0,0,1
0,0.84,-1,24,0,0,1
1,0.82,-1,24,0,0,0
1,0.61,3,24,1,0,1
-1,0.45,-1,24,1,0,1
-1,0.57,2,24,0,0,0
-1,0.81,3,24,0,0,0
-1,0.4,0,24,0,0,0
0,0.66,1,24,0,0,0
-1,0.65,0,24,0,0,0
-1,0.55,1,24,0,0,0
-1,0.48,-1,24,0,0,0
0,0.78,2,24,1,0,0
0,0.69,3,24,1,0,0
0,0.66,-1,24,0,0,1
-1,0.85,1,24,0,0,1
-1,0.49,0,24,1,0,1
0,0.57,-1,24,0,0,1
-1,0.72,1,24,0,0,1
-1,0.65,-1,24,1,0,0
-1,0.57,0,24,0,0,0
1,0.91,0,24,1,0,0
1,0.57,0,24,0,0,0
-1,0.86,3,24,1,0,1
-1,0.65,1,24,0,0,1
-1,0.95,3,24,0,0,1
1,0.78,1,24,1,0,1
-1,0.72,0,24,0,0,1
-1,0.94,3,24,0,0,0
-1,0.52,3,24,0,0,1
0,0.6,-1,24,1,0,0
